PDBId,FileName,gz,cif,Comment
2EWK,2EWK.cif.gz,true,true,1A100RXray.txt
2F01,2F01.cif.gz,true,true,1A100RXray.txt
2FN3,2FN3.cif.gz,true,true,1A100RXray.txt
2FOU,2FOU.cif.gz,true,true,1A100RXray.txt
2FVY,2FVY.cif.gz,true,true,1A100RXray.txt
2FWH,2FWH.cif.gz,true,true,1A100RXray.txt
2G58,2G58.cif.gz,true,true,1A100RXray.txt
2GBA,2GBA.cif.gz,true,true,1A100RXray.txt
2GEW,2GEW.cif.gz,true,true,1A100RXray.txt
2GG2,2GG2.cif.gz,true,true,1A100RXray.txt
2GGC,2GGC.cif.gz,true,true,1A100RXray.txt
2GH7,2GH7.cif.gz,true,true,1A100RXray.txt
2GKG,2GKG.cif.gz,true,true,1A100RXray.txt
2GLK,2GLK.cif.gz,true,true,1A100RXray.txt
2GUD,2GUD.cif.gz,true,true,1A100RXray.txt
2H3L,2H3L.cif.gz,true,true,1A100RXray.txt
2H5C,2H5C.cif.gz,true,true,1A100RXray.txt
2H5D,2H5D.cif.gz,true,true,1A100RXray.txt
2HPE,2HPE.cif.gz,true,true,1A100RXray.txt
2HS1,2HS1.cif.gz,true,true,1A100RXray.txt
2I16,2I16.cif.gz,true,true,1A100RXray.txt
2I17,2I17.cif.gz,true,true,1A100RXray.txt
2I4A,2I4A.cif.gz,true,true,1A100RXray.txt
2IDQ,2IDQ.cif.gz,true,true,1A100RXray.txt
2IDS,2IDS.cif.gz,true,true,1A100RXray.txt
2IDT,2IDT.cif.gz,true,true,1A100RXray.txt
2IDU,2IDU.cif.gz,true,true,1A100RXray.txt
2IXT,2IXT.cif.gz,true,true,1A100RXray.txt
2J8T,2J8T.cif.gz,true,true,1A100RXray.txt
2JFR,2JFR.cif.gz,true,true,1A100RXray.txt
2JHF,2JHF.cif.gz,true,true,1A100RXray.txt
2JJJ,2JJJ.cif.gz,true,true,1A100RXray.txt
2NMZ,2NMZ.cif.gz,true,true,1A100RXray.txt
2NRL,2NRL.cif.gz,true,true,1A100RXray.txt
2NX0,2NX0.cif.gz,true,true,1A100RXray.txt
2O7A,2O7A.cif.gz,true,true,1A100RXray.txt
2OFR,2OFR.cif.gz,true,true,1A100RXray.txt
2OV0,2OV0.cif.gz,true,true,1A100RXray.txt
2P74,2P74.cif.gz,true,true,1A100RXray.txt
2PEV,2PEV.cif.gz,true,true,1A100RXray.txt
2PF8,2PF8.cif.gz,true,true,1A100RXray.txt
2PFH,2PFH.cif.gz,true,true,1A100RXray.txt
2PL7,2PL7.cif.gz,true,true,1A100RXray.txt
2PND,2PND.cif.gz,true,true,1A100RXray.txt
2PPN,2PPN.cif.gz,true,true,1A100RXray.txt
2PPP,2PPP.cif.gz,true,true,1A100RXray.txt
2PVB,2PVB.cif.gz,true,true,1A100RXray.txt
2PVE,2PVE.cif.gz,true,true,1A100RXray.txt
2PWA,2PWA.cif.gz,true,true,1A100RXray.txt
2PZN,2PZN.cif.gz,true,true,1A100RXray.txt
2QDV,2QDV.cif.gz,true,true,1A100RXray.txt
2QDW,2QDW.cif.gz,true,true,1A100RXray.txt
2QPN,2QPN.cif.gz,true,true,1A100RXray.txt
2QXH,2QXH.cif.gz,true,true,1A100RXray.txt
2QXI,2QXI.cif.gz,true,true,1A100RXray.txt
2QXW,2QXW.cif.gz,true,true,1A100RXray.txt
2R31,2R31.cif.gz,true,true,1A100RXray.txt
2RBK,2RBK.cif.gz,true,true,1A100RXray.txt
2UU8,2UU8.cif.gz,true,true,1A100RXray.txt
2V1M,2V1M.cif.gz,true,true,1A100RXray.txt
2V8B,2V8B.cif.gz,true,true,1A100RXray.txt
2V8T,2V8T.cif.gz,true,true,1A100RXray.txt
2VB1,2VB1.cif.gz,true,true,1A100RXray.txt
2VHA,2VHA.cif.gz,true,true,1A100RXray.txt
2VHK,2VHK.cif.gz,true,true,1A100RXray.txt
2VHR,2VHR.cif.gz,true,true,1A100RXray.txt
2VI3,2VI3.cif.gz,true,true,1A100RXray.txt
2VK5,2VK5.cif.gz,true,true,1A100RXray.txt
2VU6,2VU6.cif.gz,true,true,1A100RXray.txt
2VXN,2VXN.cif.gz,true,true,1A100RXray.txt
2WFI,2WFI.cif.gz,true,true,1A100RXray.txt
2WFJ,2WFJ.cif.gz,true,true,1A100RXray.txt
2WUR,2WUR.cif.gz,true,true,1A100RXray.txt
2WYT,2WYT.cif.gz,true,true,1A100RXray.txt
2X46,2X46.cif.gz,true,true,1A100RXray.txt
2XFR,2XFR.cif.gz,true,true,1A100RXray.txt
2XJP,2XJP.cif.gz,true,true,1A100RXray.txt
2XOD,2XOD.cif.gz,true,true,1A100RXray.txt
2XR4,2XR4.cif.gz,true,true,1A100RXray.txt
2XTT,2XTT.cif.gz,true,true,1A100RXray.txt
2XU3,2XU3.cif.gz,true,true,1A100RXray.txt
2Y61,2Y61.cif.gz,true,true,1A100RXray.txt
2Y78,2Y78.cif.gz,true,true,1A100RXray.txt
2YKZ,2YKZ.cif.gz,true,true,1A100RXray.txt
2YL0,2YL0.cif.gz,true,true,1A100RXray.txt
2YL7,2YL7.cif.gz,true,true,1A100RXray.txt
2YYX,2YYX.cif.gz,true,true,1A100RXray.txt
2Z6W,2Z6W.cif.gz,true,true,1A100RXray.txt
2ZQ7,2ZQ7.cif.gz,true,true,1A100RXray.txt
2ZQA,2ZQA.cif.gz,true,true,1A100RXray.txt
3A0M,3A0M.cif.gz,true,true,1A100RXray.txt
3A2O,3A2O.cif.gz,true,true,1A100RXray.txt
