PDBId,FileName
5ct1,5ct1.cif.gz
3qsr,3qsr.cif.gz
1j9k,1j9k.cif.gz
5gt2,5gt2.cif.gz
3ac9,3ac9.cif.gz
1sdv,1sdv.cif.gz
4bdg,4bdg.cif.gz
5t5g,5t5g.cif.gz
5jih,5jih.cif.gz
2oi2,2oi2.cif.gz
1nxv,1nxv.cif.gz
2akq,2akq.cif.gz
1lxy,1lxy.cif.gz
2e8r,2e8r.cif.gz
1poy,1poy.cif.gz
3luy,3luy.cif.gz
2qop,2qop.cif.gz
4uhk,4uhk.cif.gz
5ybf,5ybf.cif.gz
4gix,4gix.cif.gz
4j29,4j29.cif.gz
4eyr,4eyr.cif.gz
5hiz,5hiz.cif.gz
3lhb,3lhb.cif.gz
4fpp,4fpp.cif.gz
5wpu,5wpu.cif.gz
3oyw,3oyw.cif.gz
3csm,3csm.cif.gz
2yvn,2yvn.cif.gz
2pwv,2pwv.cif.gz
4l8j,4l8j.cif.gz
4b3a,4b3a.cif.gz
2x3g,2x3g.cif.gz
4auu,4auu.cif.gz
3fvj,3fvj.cif.gz
2zkl,2zkl.cif.gz
3zu2,3zu2.cif.gz
3u9x,3u9x.cif.gz
5fry,5fry.cif.gz
1mui,1mui.cif.gz
6d4i,6d4i.cif.gz
4hke,4hke.cif.gz
5a9h,5a9h.cif.gz
3n5f,3n5f.cif.gz
3wqr,3wqr.cif.gz
5kap,5kap.cif.gz
5kgw,5kgw.cif.gz
1u7n,1u7n.cif.gz
4w98,4w98.cif.gz
4z1a,4z1a.cif.gz
1tyr,1tyr.cif.gz
2hng,2hng.cif.gz
3ekt,3ekt.cif.gz
3n38,3n38.cif.gz
2cmg,2cmg.cif.gz
2xb3,2xb3.cif.gz
1vza,1vza.cif.gz
3a65,3a65.cif.gz
4x1g,4x1g.cif.gz
3b36,3b36.cif.gz
4oj4,4oj4.cif.gz
1zdg,1zdg.cif.gz
5brj,5brj.cif.gz
4njh,4njh.cif.gz
3p52,3p52.cif.gz
5ael,5ael.cif.gz
1qr4,1qr4.cif.gz
3n45,3n45.cif.gz
2gr1,2gr1.cif.gz
4wlj,4wlj.cif.gz
3hs3,3hs3.cif.gz
1qqh,1qqh.cif.gz
2gn5,2gn5.cif.gz
3o28,3o28.cif.gz
4kqi,4kqi.cif.gz
3acd,3acd.cif.gz
4ha8,4ha8.cif.gz
2r2d,2r2d.cif.gz
3cqk,3cqk.cif.gz
